id,name,type,party,age,sex
Platzeck,Platzeck,0,11,3,1
Pofalla,Pofalla,0,9,3,1
Praetorius,Praetorius,0,NA,NA,2
Tillich,Tillich,0,9,3,1
Hasselfeldt,Hasselfeldt,0,10,3,2
Kampeter,Kampeter,0,9,2,1
Kapferer,Kapferer,0,NA,2,1
Kempf,Kempf,0,NA,3,1
Nemat,Nemat,0,NA,2,2
Reiche,Reiche,0,9,2,2
Röstel,Röstel,0,12,2,2
Schweitzer,Schweitzer,0,NA,2,1
Grothus,Grothus,0,NA,2,2
Wodtke,Wodtke,0,9,3,2
Herntier,Herntier,0,NA,3,2
Kreuzberg,Kreuzberg,0,9,3,1
Priggen,Priggen,0,12,3,1
Vassiliadis,Vassiliadis,0,11,2,1
Scheidt,Scheidt,0,11,2,1
Körzell,Körzell,0,11,2,1
Kaiser,Kaiser,0,NA,2,1
Weiger,Weiger,0,NA,3,1
Niebert,Niebert,0,NA,1,1
Allmendinger,Allmendinger,0,NA,3,2
Matthes,Matthes,0,NA,2,1
Schellnhuber,Schellnhuber,0,NA,3,1
Niebuhr,Niebuhr,0,NA,NA,2
Wehrspon,Wehrspon,0,NA,2,1
Lämmel,Lämmel,0,9,2,1
Lenz,Lenz,0,10,1,1
Mirsch,Mirsch,0,11,2,1
1,Politik,1,NA,NA,NA
2,Verband,1,NA,NA,NA
3,Gewerkschaft,1,NA,NA,NA
4,Umweltschutz,1,NA,NA,NA
5,Industrie,1,NA,NA,NA
6,Energieunternehmen,1,NA,NA,NA
7,Wissenschaft,1,NA,NA,NA
8,Regionalvertreter,1,NA,NA,NA
9,CDU,1,NA,NA,NA
10,CSU,1,NA,NA,NA
11,SPD,1,NA,NA,NA
12,Gruene,1,NA,NA,NA
