from,to,weight
Platzeck ,SPD,1
Platzeck ,Politik,3
Pofalla,CDU,1
Pofalla,Industrie,3
Praetorius,Politik,3
Praetorius,Wissenschaft,2
Tillich,CDU,1
Tillich,Politik,3
Hasselfeldt,CSU,2
Hasselfeldt,Verband,3
Kampeter,CDU,1
Kampeter ,Verband,2
Kapferer,NA,2
Kapferer,Verband,3
Kempf,Verband,3
Kempf,Politik,2
Nemat,Industrie,3
Nemat,Politik,2
Reiche,CDU,1
Reiche,Verband,3
Röstel,Gruene,1
Röstel,Energieunternehmen,3
Schweitzer,NA,1
Schweitzer,Verband,3
Grothus,Umweltschutz,2
Grothus,Politik,2
Wodtke,CDU,2
Wodtke,Umweltschutz,2
Herntier,Politik,2
Herntier,Regionalvertreter,3
Kreuzberg,CDU,2
Kreuzberg,Regionalvertreter,2
Priggen,Gruene,2
Priggen,Energieunternehmen,3
Vassiliadis ,SPD,2
Vassiliadis ,Gewerkschaft,3
Scheidt,SPD,2
Scheidt,Gewerkschaft,3
Körzell,SPD,2
Körzell,Gewerkschaft,3
Kaiser,Umweltschutz,3
Kaiser,Politik,2
Weiger,Umweltschutz,3
Weiger,Politik,2
Niebert,Verband,3
Niebert,Politik,2
Allmendinger,Wissenschaft,3
Allmendinger,Politik,2
Matthes,Wissenschaft,2
Matthes,Politik,2
Schellnhuber,Wissenschaft,3
Schellnhuber,Politik,2
Niebuhr,Wissenschaft,2
Niebuhr,Politik,2
Wehrspon,Wissenschaft,3
Wehrspon,Politik,2
Lämmel,CDU,3
Lämmel,Politik,1
Lenz,Politik,1
Lenz,CSU,3
Mirsch,SPD,3
Mirsch,Politik,1
